"","MAG","time_0","time_168","time_24","time_3","time_48","time_72","max_time","strategy_broad"
"22","12C16O_168h_100_P16_coass_bin.28",0,0.219512195121951,0.146341463414634,0.0625,0.34,0.326923076923077,"48","Middle Responders"
"23","12C16O_168h_100_unf_bin.12",0,0.134328358208955,0.0869565217391304,0,0.105263157894737,0.189655172413793,"72","Middle Responders"
"24","12C16O_168h_100_unf_bin.19",0,0.17948717948718,0.416666666666667,0.0789473684210526,0.290322580645161,0.25,"24","Middle Responders"
"25","12C16O_168h_100_unf_bin.21",0,0.282051282051282,0.454545454545455,0.289473684210526,0.366666666666667,0.3,"24","Middle Responders"
"26","12C16O_168h_100_unf_bin.9",0,0.132075471698113,0.261904761904762,0.62,0.239130434782609,0.295454545454545,"3","Early Responders"
"27","12C16O_168h_50_P09_coass_bin.21",0,0.185185185185185,0.363636363636364,0.461538461538462,0.318181818181818,0.318181818181818,"3","Early Responders"
"28","12C16O_168h_50_P09_coass_bin.26",0,0.166666666666667,0.416666666666667,0.333333333333333,0.407407407407407,0.461538461538462,"72","Middle Responders"
"29","12C16O_168h_50_P09_coass_bin.27",0,0.147058823529412,0.481481481481481,0.0882352941176471,0.433333333333333,0.366666666666667,"24","Middle Responders"
"30","12C16O_168h_50_P10_coass_bin.11",0,0.0909090909090909,0.1875,0.318181818181818,0.117647058823529,0.0625,"3","Early Responders"
"31","12C16O_168h_50_P10_coass_bin.16",0,0.246268656716418,0.0978260869565217,-0.128787878787879,0.196078431372549,0.141509433962264,"168","Late Responders"
"32","12C16O_168h_50_P10_coass_bin.17",0,0.0217391304347826,-0.148148148148148,-0.159090909090909,-0.0625,-0.125,"168","Late Responders"
"33","12C16O_168h_50_P10_coass_bin.27",0,0.05,0.142857142857143,0.0526315789473684,0.115384615384615,0.0833333333333333,"24","Middle Responders"
"34","12C16O_168h_50_P10_coass_bin.28",0,0,0.0769230769230769,0,0,0.0625,"24","Middle Responders"
"35","12C16O_168h_50_P10_coass_bin.31",0,0.0454545454545454,0.0454545454545455,0.136363636363636,0.136363636363636,0.0909090909090909,"NA",NA
"36","12C16O_168h_50_P13_coass_bin.16",0,0.238095238095238,0.136363636363636,0.357142857142857,0.121212121212121,0.25,"3","Early Responders"
"37","12C16O_168h_50_P13_coass_bin.21",0,0.0163934426229508,-0.0645161290322581,-0.120689655172414,0,0.025,"72","Middle Responders"
"38","12C16O_168h_50_P13_coass_bin.24",0,0.31578947368421,0.277777777777778,0.388888888888889,0.277777777777778,0.222222222222222,"3","Early Responders"
"39","12C16O_168h_50_P13_coass_bin.8",0,-0.147058823529412,0.206896551724138,0.117647058823529,0.133333333333333,0.0333333333333333,"24","Middle Responders"
"40","12C16O_168h_50_unf_bin.10",0,-0.348484848484849,-0.239130434782609,-0.348484848484849,-0.230769230769231,-0.314814814814815,"0","Sensitive"
"41","12C16O_168h_50_unf_bin.22",0,0.417061611374408,0.108108108108108,0.0145631067961165,0.251908396946565,0.380597014925373,"168","Late Responders"
"42","12C16O_168h_50_unf_bin.47",0,0.0769230769230769,0.12,-0.153846153846154,0.175438596491228,0.120689655172414,"48","Middle Responders"
"43","12C16O_168h_50_unf_bin.52",0,0.319148936170213,0.157894736842105,0.217391304347826,0.214285714285714,0.318181818181818,"168","Late Responders"
"44","12C16O_168h_50_unf_bin.57",0,0.492063492063492,0.377777777777778,-0.0161290322580645,0.52,0.6,"72","Middle Responders"
"45","12C16O_24h_100_P08_coass_bin.11",0,0.392857142857143,0.285714285714286,0.107142857142857,0.269230769230769,0.423076923076923,"72","Middle Responders"
"46","12C16O_24h_100_P08_coass_bin.12",0,0.246376811594203,0.260162601626016,-0.0808080808080808,0.330935251798561,0.345588235294118,"72","Middle Responders"
"47","12C16O_24h_100_P08_coass_bin.20",0,0.147058823529412,0.5,0.205882352941176,0.347826086956522,0.272727272727273,"24","Middle Responders"
"48","12C16O_24h_100_P08_coass_bin.7",0,0.0212765957446808,0.277777777777778,0.282608695652174,0.0975609756097561,0.1,"3","Early Responders"
"49","12C16O_24h_100_P14_coass_bin.12",0,0.238095238095238,0.176470588235294,0.161290322580645,0.25531914893617,0.272727272727273,"72","Middle Responders"
"50","12C16O_24h_100_P14_coass_bin.30",0,-0.0422535211267606,0.132075471698113,-0.142857142857143,0.137931034482759,0.133333333333333,"48","Middle Responders"
